Domain name,Domain type,Agency,City,State,Local municipality,Country,ORGNR,Sektorkode
agderuni.no,Federal agency,Universitetet I Agder,Kristiansand S,Vest-Agder,Kristiansand,Norway,970546200,6100 - Stats- og trygdeforvaltningen
agderuniv.no,Federal agency,Universitetet I Agder,Kristiansand S,Vest-Agder,Kristiansand,Norway,970546200,6100 - Stats- og trygdeforvaltningen
agderuniversitet.no,Federal agency,Universitetet I Agder,Kristiansand S,Vest-Agder,Kristiansand,Norway,970546200,6100 - Stats- og trygdeforvaltningen
agderuniversity.no,Federal agency,Universitetet I Agder,Kristiansand S,Vest-Agder,Kristiansand,Norway,970546200,6100 - Stats- og trygdeforvaltningen
agu.no,Federal agency,Universitetet I Agder,Kristiansand S,Vest-Agder,Kristiansand,Norway,970546200,6100 - Stats- og trygdeforvaltningen
aho.no,Federal agency,Arkitektur og Designhøgskolen I Oslo Aho,Oslo,Oslo,Oslo,Norway,971526378,6100 - Stats- og trygdeforvaltningen
ahus.no,Federal agency,Akershus Universitetssykehus Hf,Lørenskog,Akershus,Lørenskog,Norway,983971636,6100 - Stats- og trygdeforvaltningen
aibn.no,Federal agency,Statens Havarikommisjon For Transport,Lillestrøm,Akershus,Skedsmo,Norway,881143712,6100 - Stats- og trygdeforvaltningen
aiddep.no,Federal agency,Arbeids- og Sosialdepartementet,Oslo,Oslo,Oslo,Norway,983887457,6100 - Stats- og trygdeforvaltningen
aigecala.no,Federal agency,Universitetet I Tromsø - Norges Arktiske Universitet,Tromsø,Troms,Tromsø,Norway,970422528,6100 - Stats- og trygdeforvaltningen
aimmuin.no,Federal agency,Sàmi Allaskuvla Samisk Høgskole,Kautokeino,Finnmark,Guovdageaidnu Kautokeino,Norway,971519363,6100 - Stats- og trygdeforvaltningen
air2oslo.no,Federal agency,Kunsthøgskolen I Oslo,Oslo,Oslo,Oslo,Norway,977027233,6100 - Stats- og trygdeforvaltningen
akerrikse.no,Federal agency,Fylkesmannen I Rogaland,Stavanger,Rogaland,Stavanger,Norway,974763230,6100 - Stats- og trygdeforvaltningen
akershusfestning.no,Federal agency,Forsvarsbygg,Oslo,Oslo,Oslo,Norway,975950662,6100 - Stats- og trygdeforvaltningen
akershuskommandantskap.no,Federal agency,Forsvaret,Lillehammer,Oslo,Oslo,Norway,986105174,6100 - Stats- og trygdeforvaltningen
akershusslott.no,Federal agency,Forsvaret,Lillehammer,Oslo,Oslo,Norway,986105174,6100 - Stats- og trygdeforvaltningen
akershus-universitetssykehus.no,Federal agency,Akershus Universitetssykehus Hf,Lørenskog,Akershus,Lørenskog,Norway,983971636,6100 - Stats- og trygdeforvaltningen
akersykehus.no,Federal agency,Oslo Universitetssykehus Hf,Oslo,Oslo,Oslo,Norway,993467049,6100 - Stats- og trygdeforvaltningen
aker-sykehus.no,Federal agency,Oslo Universitetssykehus Hf,Oslo,Oslo,Oslo,Norway,993467049,6100 - Stats- og trygdeforvaltningen
aker-universitetssykehus.no,Federal agency,Oslo Universitetssykehus Hf,Oslo,Oslo,Oslo,Norway,993467049,6100 - Stats- og trygdeforvaltningen
akkreditert.no,Federal agency,Justervesenet,Kjeller,Akershus,Skedsmo,Norway,874761192,6100 - Stats- og trygdeforvaltningen
aktan.no,Federal agency,Sàmi Allaskuvla Samisk Høgskole,Kautokeino,Finnmark,Guovdageaidnu Kautokeino,Norway,971519363,6100 - Stats- og trygdeforvaltningen
aktesne.no,Federal agency,Sàmi Allaskuvla Samisk Høgskole,Kautokeino,Finnmark,Guovdageaidnu Kautokeino,Norway,971519363,6100 - Stats- og trygdeforvaltningen
aktivitetsstien.no,Federal agency,Høgskolen I Hedmark,Elverum,Hedmark,Elverum,Norway,974251760,6100 - Stats- og trygdeforvaltningen
aktorportalen.no,Federal agency,Domstolene I Norge,Trondheim,Sør-Trøndelag,Trondheim,Norway,984195796,6100 - Stats- og trygdeforvaltningen
akuttmottak.no,Federal agency,Sykehuset Innlandet Hf,Brumunddal,Hedmark,Ringsaker,Norway,983971709,6100 - Stats- og trygdeforvaltningen
akuttnettverket.no,Federal agency,Akershus Universitetssykehus Hf,Lørenskog,Akershus,Lørenskog,Norway,983971636,6100 - Stats- og trygdeforvaltningen
akvakulturregisteret.no,Federal agency,Nærings- og Fiskeridepartementet,Oslo,Oslo,Oslo,Norway,912660680,6100 - Stats- og trygdeforvaltningen
akvamedisin.no,Federal agency,Universitetet I Bergen,Bergen,Hordaland,Bergen,Norway,874789542,6100 - Stats- og trygdeforvaltningen
akvareg.no,Federal agency,Nærings- og Fiskeridepartementet,Oslo,Oslo,Oslo,Norway,912660680,6100 - Stats- og trygdeforvaltningen
alderspsykiatri.no,Federal agency,Sykehuset Innlandet Hf,Brumunddal,Hedmark,Ringsaker,Norway,983971709,6100 - Stats- og trygdeforvaltningen
aldrigiopp.no,Federal agency,Sykehuset Innlandet Hf,Brumunddal,Hedmark,Ringsaker,Norway,983971709,6100 - Stats- og trygdeforvaltningen
alesundkonferansen.no,Federal agency,Kystverket,Ålesund,Møre og Romsdal,Ålesund,Norway,874783242,6100 - Stats- og trygdeforvaltningen
alfarollemodell.no,Federal agency,Norges Teknisk-Naturvitenskapelige Universitet Ntnu,Trondheim,Sør-Trøndelag,Trondheim,Norway,974767880,6100 - Stats- og trygdeforvaltningen
alger.no,Federal agency,Havforskningsinstituttet,Bergen,Hordaland,Bergen,Norway,971349077,6100 - Stats- og trygdeforvaltningen
allaskuvla.no,Federal agency,Sàmi Allaskuvla Samisk Høgskole,Kautokeino,Finnmark,Guovdageaidnu Kautokeino,Norway,971519363,6100 - Stats- og trygdeforvaltningen
allesansvar.no,Federal agency,Direktoratet For Samfunnssikkerhet og Beredskap (Dsb),Tønsberg,Vestfold,Tønsberg,Norway,974760983,6100 - Stats- og trygdeforvaltningen
allmennfly.no,Federal agency,Luftfartstilsynet,Bodø,Nordland,Bodø,Norway,981105516,6100 - Stats- og trygdeforvaltningen
allmennstemmerett.no,Federal agency,"Barne-, Likestillings- og Inkluderingsdepartementet",Oslo,Oslo,Oslo,Norway,972417793,6100 - Stats- og trygdeforvaltningen
allvei.no,Federal agency,Statens Vegvesen,Oslo,Oslo,Oslo,Norway,971032081,6100 - Stats- og trygdeforvaltningen
allvis.no,Federal agency,Nasjonal Sikkerhetsmyndighet (Nsm),Sandvika,Akershus,Bærum,Norway,985165262,6100 - Stats- og trygdeforvaltningen
almamatersdotre.no,Federal agency,Norges Forskningsråd,Lysaker,Oslo,Oslo,Norway,970141669,6100 - Stats- og trygdeforvaltningen
almatema.no,Federal agency,Norges Teknisk-Naturvitenskapelige Universitet Ntnu,Trondheim,Sør-Trøndelag,Trondheim,Norway,974767880,6100 - Stats- og trygdeforvaltningen
altinn.no,Federal agency,Registerenheten I Brønnøysund,Brønnøysund,Nordland,Brønnøy,Norway,974760673,6100 - Stats- og trygdeforvaltningen
altvikanmotbrann.no,Federal agency,Direktoratet For Samfunnssikkerhet og Beredskap (Dsb),Tønsberg,Vestfold,Tønsberg,Norway,974760983,6100 - Stats- og trygdeforvaltningen
ambulanse-midt.no,Federal agency,Helse Midt-Norge Rhf,Stjørdal,Nord-Trøndelag,Stjørdal,Norway,983658776,6100 - Stats- og trygdeforvaltningen
ambulanse-midtnorge.no,Federal agency,Helse Midt-Norge Rhf,Stjørdal,Nord-Trøndelag,Stjørdal,Norway,983658776,6100 - Stats- og trygdeforvaltningen
ambulanseutdanning.no,Federal agency,Helse Førde Hf,Førde,Sogn og Fjordane,Førde,Norway,983974732,6100 - Stats- og trygdeforvaltningen
amkbuskerud.no,Federal agency,Vestre Viken Hf,Drammen,Buskerud,Drammen,Norway,894166762,6100 - Stats- og trygdeforvaltningen
ammesenteret.no,Federal agency,Oslo Universitetssykehus Hf,Oslo,Oslo,Oslo,Norway,993467049,6100 - Stats- og trygdeforvaltningen
analinkontinensregisteret.no,Federal agency,Universitetssykehuset Nord-Norge Hf,Tromsø,Troms,Tromsø,Norway,983974899,6100 - Stats- og trygdeforvaltningen
analyseoversikten.no,Federal agency,Helse Bergen Hf,Bergen,Hordaland,Bergen,Norway,983974724,6100 - Stats- og trygdeforvaltningen
andaction.no,Federal agency,Høgskolen I Nord-Trøndelag,Steinkjer,Nord-Trøndelag,Steinkjer,Norway,971575905,6100 - Stats- og trygdeforvaltningen
ankeutvalget.no,Federal agency,Domstolene I Norge,Trondheim,Sør-Trøndelag,Trondheim,Norway,984195796,6100 - Stats- og trygdeforvaltningen
anleggsgartnertekniker.no,Federal agency,Vea - Statens Fagskole For Gartnere og Blomsterdekoratører,Moelv,Hedmark,Ringsaker,Norway,870961642,6100 - Stats- og trygdeforvaltningen
anleggsgartnerteknikker.no,Federal agency,Vea - Statens Fagskole For Gartnere og Blomsterdekoratører,Moelv,Hedmark,Ringsaker,Norway,870961642,6100 - Stats- og trygdeforvaltningen
anpr-no.no,Federal agency,Statens Vegvesen,Oslo,Oslo,Oslo,Norway,971032081,6100 - Stats- og trygdeforvaltningen
anskaffelser.no,Federal agency,Direktoratet For Forvaltning og Ikt,Oslo,Oslo,Oslo,Norway,991825827,6100 - Stats- og trygdeforvaltningen
anskaffelsesakademiet.no,Federal agency,Høgskolen I Molde,Molde,Møre og Romsdal,Molde,Norway,971555483,6100 - Stats- og trygdeforvaltningen
anstendigarbeidsliv.no,Federal agency,Arbeids- og Sosialdepartementet,Oslo,Oslo,Oslo,Norway,983887457,6100 - Stats- og trygdeforvaltningen
ansvarlig.no,Federal agency,Direktoratet For Samfunnssikkerhet og Beredskap (Dsb),Tønsberg,Vestfold,Tønsberg,Norway,974760983,6100 - Stats- og trygdeforvaltningen
ansvarlignaringsliv.no,Federal agency,Utenriksdepartementet,Oslo,Oslo,Oslo,Norway,972417920,6100 - Stats- og trygdeforvaltningen
ansvarligvertskap.no,Federal agency,Helsedirektoratet,Oslo,Oslo,Oslo,Norway,983544622,6100 - Stats- og trygdeforvaltningen
antibiotika.no,Federal agency,Helse Bergen Hf,Bergen,Hordaland,Bergen,Norway,983974724,6100 - Stats- og trygdeforvaltningen
antibiotikaresistens.no,Federal agency,Universitetssykehuset Nord-Norge Hf,Tromsø,Troms,Tromsø,Norway,983974899,6100 - Stats- og trygdeforvaltningen
antihvitvasking.no,Federal agency,Finanstilsynet,Oslo,Oslo,Oslo,Norway,840747972,6100 - Stats- og trygdeforvaltningen
anx.no,Federal agency,Oslo Universitetssykehus Hf,Oslo,Oslo,Oslo,Norway,993467049,6100 - Stats- og trygdeforvaltningen
a-ordningen.no,Federal agency,Skatt Øst,Oslo,Oslo,Oslo,Norway,991733043,6100 - Stats- og trygdeforvaltningen
apc-coe.no,Federal agency,Norges Miljø- og Biovitenskapelige Universitet (Nmbu),Ås,Akershus,Ås,Norway,969159570,6100 - Stats- og trygdeforvaltningen
apoteka-vest.no,Federal agency,Helse Vest Rhf,Stavanger,Rogaland,Stavanger,Norway,983658725,6100 - Stats- og trygdeforvaltningen
apotekene-vest.no,Federal agency,Helse Vest Rhf,Stavanger,Rogaland,Stavanger,Norway,983658725,6100 - Stats- og trygdeforvaltningen
apotekmuseet.no,Federal agency,Norsk Folkemuseum,Oslo,Oslo,Oslo,Norway,970010815,6100 - Stats- og trygdeforvaltningen
applefikseriet.no,Federal agency,Registerenheten I Brønnøysund,Brønnøysund,Nordland,Brønnøy,Norway,974760673,6100 - Stats- og trygdeforvaltningen
apps4norge.no,Federal agency,Direktoratet For Forvaltning og Ikt,Oslo,Oslo,Oslo,Norway,991825827,6100 - Stats- og trygdeforvaltningen
arbediehtu.no,Federal agency,Sàmi Allaskuvla Samisk Høgskole,Kautokeino,Finnmark,Guovdageaidnu Kautokeino,Norway,971519363,6100 - Stats- og trygdeforvaltningen
arbeidervern.no,Federal agency,Arbeidstilsynet,Trondheim,Sør-Trøndelag,Trondheim,Norway,974761211,6100 - Stats- og trygdeforvaltningen
arbeidsdepartementet.no,Federal agency,Arbeids- og Sosialdepartementet,Oslo,Oslo,Oslo,Norway,983887457,6100 - Stats- og trygdeforvaltningen
arbeidshelsen.no,Federal agency,Statens Arbeidsmiljøinstitutt,Oslo,Oslo,Oslo,Norway,874761222,6100 - Stats- og trygdeforvaltningen
arbeidskontrakt.no,Federal agency,Arbeidstilsynet,Trondheim,Sør-Trøndelag,Trondheim,Norway,974761211,6100 - Stats- og trygdeforvaltningen
arbeidslivscoach.no,Federal agency,Høgskolen I Lillehammer,Lillehammer,Oppland,Lillehammer,Norway,975264793,6100 - Stats- og trygdeforvaltningen
arbeidslivsforum.no,Federal agency,Arbeids- og Sosialdepartementet,Oslo,Oslo,Oslo,Norway,983887457,6100 - Stats- og trygdeforvaltningen
arbeidslivslovutvalget.no,Federal agency,Arbeids- og Sosialdepartementet,Oslo,Oslo,Oslo,Norway,983887457,6100 - Stats- og trygdeforvaltningen
arbeidslivstilsynet.no,Federal agency,Arbeidstilsynet,Trondheim,Sør-Trøndelag,Trondheim,Norway,974761211,6100 - Stats- og trygdeforvaltningen
arbeidsogsosialdepartementet.no,Federal agency,Arbeids- og Sosialdepartementet,Oslo,Oslo,Oslo,Norway,983887457,6100 - Stats- og trygdeforvaltningen
arbeidsplassen.no,Federal agency,Arbeidstilsynet,Trondheim,Sør-Trøndelag,Trondheim,Norway,974761211,6100 - Stats- og trygdeforvaltningen
arbeidstidsutvalget.no,Federal agency,Arbeids- og Sosialdepartementet,Oslo,Oslo,Oslo,Norway,983887457,6100 - Stats- og trygdeforvaltningen
arcex.no,Federal agency,Universitetet I Tromsø - Norges Arktiske Universitet,Tromsø,Troms,Tromsø,Norway,970422528,6100 - Stats- og trygdeforvaltningen
arcticbc.no,Federal agency,Universitetet I Tromsø - Norges Arktiske Universitet,Tromsø,Troms,Tromsø,Norway,970422528,6100 - Stats- og trygdeforvaltningen
arcticbuggroup.no,Federal agency,Universitetssenteret På Svalbard AS,Longyearbyen,Svalbard,Spitsbergen,Norway,985204454,6100 - Stats- og trygdeforvaltningen
arcticlogistics.no,Federal agency,Universitetssenteret På Svalbard AS,Longyearbyen,Svalbard,Spitsbergen,Norway,985204454,6100 - Stats- og trygdeforvaltningen
arcticsystem.no,Federal agency,Norsk Polarinstitutt,Tromsø,Troms,Tromsø,Norway,971022264,6100 - Stats- og trygdeforvaltningen
arctictechnologycentre.no,Federal agency,Høgskolen I Narvik,Narvik,Nordland,Narvik,Norway,970921885,6100 - Stats- og trygdeforvaltningen
arealisrogaland.no,Federal agency,Fylkesmannen I Rogaland,Stavanger,Rogaland,Stavanger,Norway,974763230,6100 - Stats- og trygdeforvaltningen
arealplan.no,Federal agency,Direktoratet For Samfunnssikkerhet og Beredskap (Dsb),Tønsberg,Vestfold,Tønsberg,Norway,974760983,6100 - Stats- og trygdeforvaltningen
arenaclusters.no,Federal agency,Innovasjon Norge,Oslo,Oslo,Oslo,Norway,986399445,3900 - Statlige låneinstitutter mv.
arenanyomsorg.no,Federal agency,Høgskolen I Gjøvik,Gjøvik,Oppland,Gjøvik,Norway,970937668,6100 - Stats- og trygdeforvaltningen
argentum.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentumassetmanagement.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentumfonds.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentum-fonds.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentumfondsinvesteringer.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentum-fondsinvesteringer.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentumfunds.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentum-funds.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentumkapitalforvaltning.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentum-management.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentumnordic.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentum-nordic.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentumpe.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentum-pe.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentumprivateequity.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentum-privateequity.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
argentumsecondary.no,Federal agency,Argentum Fondsinvesteringer AS,Bergen,Hordaland,Bergen,Norway,983790739,3900 - Statlige låneinstitutter mv.
arkeologiskmuseum.no,Federal agency,Universitetet I Stavanger,Stavanger,Rogaland,Stavanger,Norway,971564679,6100 - Stats- og trygdeforvaltningen
arketyper.no,Federal agency,Nasjonal Ikt Hf,Bergen,Hordaland,Bergen,Norway,913454405,6100 - Stats- og trygdeforvaltningen
arkivinfo.no,Federal agency,Arkivverket,Oslo,Oslo,Oslo,Norway,961181399,6100 - Stats- og trygdeforvaltningen
arkivmote.no,Federal agency,Arkivverket,Oslo,Oslo,Oslo,Norway,961181399,6100 - Stats- og trygdeforvaltningen
arkivporten.no,Federal agency,Arkivverket,Oslo,Oslo,Oslo,Norway,961181399,6100 - Stats- og trygdeforvaltningen
arkivverket.no,Federal agency,Arkivverket,Oslo,Oslo,Oslo,Norway,961181399,6100 - Stats- og trygdeforvaltningen
arktiskhelse.no,Federal agency,Universitetet I Tromsø - Norges Arktiske Universitet,Tromsø,Troms,Tromsø,Norway,970422528,6100 - Stats- og trygdeforvaltningen
artbanken.no,Federal agency,Norges Teknisk-Naturvitenskapelige Universitet Ntnu,Trondheim,Sør-Trøndelag,Trondheim,Norway,974767880,6100 - Stats- og trygdeforvaltningen
arter.no,Federal agency,Norges Teknisk-Naturvitenskapelige Universitet Ntnu,Trondheim,Sør-Trøndelag,Trondheim,Norway,974767880,6100 - Stats- og trygdeforvaltningen
artisticresearch.no,Federal agency,Kunst- og Designhøgskolen I Bergen,Bergen,Hordaland,Bergen,Norway,978615031,6100 - Stats- og trygdeforvaltningen
artistic-research.no,Federal agency,Kunst- og Designhøgskolen I Bergen,Bergen,Hordaland,Bergen,Norway,978615031,6100 - Stats- og trygdeforvaltningen
artsandhealth.no,Federal agency,Høgskolen I Nord-Trøndelag,Steinkjer,Nord-Trøndelag,Steinkjer,Norway,971575905,6100 - Stats- og trygdeforvaltningen
artsandhealthnorway.no,Federal agency,Høgskolen I Nord-Trøndelag,Steinkjer,Nord-Trøndelag,Steinkjer,Norway,971575905,6100 - Stats- og trygdeforvaltningen
artsbanken.no,Federal agency,Norges Teknisk-Naturvitenskapelige Universitet Ntnu,Trondheim,Sør-Trøndelag,Trondheim,Norway,974767880,6100 - Stats- og trygdeforvaltningen
artscouncilnorway.no,Federal agency,Norsk Kulturråd,Oslo,Oslo,Oslo,Norway,971527412,6100 - Stats- og trygdeforvaltningen
