Domain name,Domain type,Agency,City,State,Local municipality,Country,ORGNR,Sektorkode
allmenning.no,Local or regional government,Nynorsk Kultursentrum,Hovdebygda,Møre og Romsdal,Ørsta,Norway,976013263,6500 - Kommuneforvaltningen
almedie.no,Local or regional government,Oslo Kommune Bydel 12 Alna,Oslo,Oslo,Oslo,Norway,970534644,6500 - Kommuneforvaltningen
alstahaugkommune.no,Local or regional government,Alstahaug Kommune,Sandnessjøen,Nordland,Alstahaug,Norway,938712441,6500 - Kommuneforvaltningen
alsvagskole.no,Local or regional government,Øksnes Kommune,Myre,Nordland,Øksnes,Norway,845152012,6500 - Kommuneforvaltningen
alta.museum.no,Local or regional government,Verdensarvsenter For Bergkunst- Alta Museum Iks,Alta,Finnmark,Alta,Norway,990717834,6500 - Kommuneforvaltningen
alta.vgs.no,Local or regional government,Finnmark Fylkeskommune,Vadsø,Finnmark,Vadsø,Norway,964994218,6500 - Kommuneforvaltningen
altakino.no,Local or regional government,Alta Kommune,Alta,Finnmark,Alta,Norway,944588132,6500 - Kommuneforvaltningen
altakultursal.no,Local or regional government,Alta Kommune,Alta,Finnmark,Alta,Norway,944588132,6500 - Kommuneforvaltningen
altakulturskole.no,Local or regional government,Alta Kommune,Alta,Finnmark,Alta,Norway,944588132,6500 - Kommuneforvaltningen
altamuseum.no,Local or regional government,Verdensarvsenter For Bergkunst- Alta Museum Iks,Alta,Finnmark,Alta,Norway,990717834,6500 - Kommuneforvaltningen
altarockart.no,Local or regional government,Verdensarvsenter For Bergkunst- Alta Museum Iks,Alta,Finnmark,Alta,Norway,990717834,6500 - Kommuneforvaltningen
altavann.no,Local or regional government,Alta Kommune,Alta,Finnmark,Alta,Norway,944588132,6500 - Kommuneforvaltningen
altavannet.no,Local or regional government,Alta Kommune,Alta,Finnmark,Alta,Norway,944588132,6500 - Kommuneforvaltningen
altavgs.no,Local or regional government,Finnmark Fylkeskommune,Vadsø,Finnmark,Vadsø,Norway,964994218,6500 - Kommuneforvaltningen
alternativopplaring.no,Local or regional government,Oppegård Kommune,Kolbotn,Akershus,Oppegård,Norway,944384081,6500 - Kommuneforvaltningen
altomhvalen.no,Local or regional government,Vestfoldmuseene Iks,Sandefjord,Vestfold,Sandefjord,Norway,993871184,6500 - Kommuneforvaltningen
aluminiummuseet.no,Local or regional government,Vestfoldmuseene Iks,Sandefjord,Vestfold,Sandefjord,Norway,993871184,6500 - Kommuneforvaltningen
alvdalskolene.no,Local or regional government,Alvdal Kommune,Alvdal,Hedmark,Alvdal,Norway,939984194,6500 - Kommuneforvaltningen
alversundkammerkor.no,Local or regional government,Alversund Sokn,Alversund,Hordaland,Lindås,Norway,976995481,6500 - Kommuneforvaltningen
