ORGNR,DOMAIN NAME,DNSSEC
8.64952992E8,hallingnett.no,Signert
8.64952992E8,al52.no,Usignert
8.64952992E8,aalkulturskule.no,Usignert
8.64952992E8,aal52.no,Usignert
8.64953042E8,www.siljan.no,Usignert
8.64953042E8,siljanspillet.no,Signert
8.64953042E8,siljanspelet.no,Signert
8.64953042E8,siljanbibliotek.no,Signert
8.64953042E8,kulturskolen.siljan.no,Signert
8.64953042E8,komplan.no,Usignert
8.64953042E8,grenlandsstandarden.no,Usignert
8.64953042E8,barnehage.siljan.no,Signert
8.64963552E8,tinnmaalet.no,Usignert
8.64963552E8,tinnkulturskole.no,Usignert
8.64963552E8,bygdemellom.no,Usignert
8.64963552E8,milandskole.no,Signert
8.64963552E8,rjukanlegesenter.no,Signert
8.64963552E8,visitrjukan.no,Usignert
8.64963552E8,rjukanbs.no,Signert
8.64963552E8,rjukankino.no,Usignert
8.64963552E8,rjukan-turistkontor.no,Usignert
8.64963552E8,rjukanbooking.no,Signert
8.64963552E8,psykiatriforum.no,Usignert
8.64964702E8,grimstad200.no,Signert
8.64964702E8,www.grimstad.no,Usignert
8.64964702E8,nyeldreomsorg.no,Usignert
8.64964702E8,kreativ-omsorg.no,Usignert
8.64964702E8,ibsenhamsun.no,Signert
8.64964702E8,hamsunibsen.no,Usignert
8.64964702E8,grimstad-kulturskole.no,Signert
8.64964702E8,grimstadhavn.no,Usignert
8.64964702E8,grimstadgjestehavn.no,Usignert
8.64964702E8,feviktun.no,Signert
8.64964702E8,barnebokfestivalen.no,Signert
8.64965962E8,www.xn--mli-tla.no,Signert
8.64965962E8,www.amli.no,Signert
8.64965962E8,visitnatur.no,Signert
8.64965962E8,visitnature.no,Signert
8.64965962E8,nelaug.no,Signert
8.64966012E8,kvalifisert.no,Signert
8.64966012E8,www.iveland.no,Usignert
8.64966012E8,ivelandsfirma.no,Usignert
8.64967272E8,sveiobibliotek.no,Signert
8.64967272E8,fordebarnehage.no,Signert
8.64967272E8,sveiokulturskule.no,Usignert
8.64967272E8,www.sveio.no,Signert
8.64967272E8,vigdartun.no,Usignert
8.64967272E8,sveioskulen.no,Signert
8.64967272E8,sveio-nering.no,Signert
8.64967272E8,sveio-barnehage.no,Signert
8.64967272E8,sveionett.no,Usignert
8.64967272E8,sveiokommune.no,Usignert
8.64967272E8,sveio-kommune.no,Usignert
8.64967272E8,ryvarden.no,Signert
8.64967272E8,kulturkyrkja.no,Usignert
8.64967272E8,kulturfyr.no,Signert
8.64967272E8,fos-sunnh.no,Usignert
8.64968422E8,politikar.fjaler.no,Usignert
8.64968422E8,preform.fjaler.no,Signert
8.64968422E8,vaageskule.no,Usignert
8.64968422E8,fjalerskulen.no,Signert
8.64968422E8,dingemoenskule.no,Usignert
8.64969682E8,kleppskolene.no,Signert
8.64969682E8,www.klepp.no,Usignert
8.64969682E8,sorhellet-barnehage.no,Signert
8.64978932E8,sjoholtskule.no,Usignert
8.64978932E8,orskoghallen.no,Signert
8.64979092E8,ritlandskrateret.no,Usignert
8.64979092E8,ritlandskrater.no,Usignert
8.64979092E8,ritlandkrater.no,Signert
8.64979092E8,www.hjelmeland.no,Usignert
8.64980902E8,raumaungdomsrad.no,Signert
8.64980902E8,raumavo.no,Usignert
8.64980902E8,www.rauma.no,Usignert
8.64980902E8,romsdalen.no,Usignert
8.64980902E8,oppvekst.rauma.no,Usignert
8.64980902E8,maaskule.no,Usignert
8.64980902E8,isfjorden-skole.no,Usignert
8.64980902E8,andalsneskino.no,Signert
8.64980902E8,aandalsnes-barneskole.no,Usignert
8.64980902E8,aafarnes.no,Usignert
8.64981062E8,nessetpolitiker.no,Signert
8.64981062E8,visitnesset.no,Usignert
8.64981062E8,nessetos.no,Usignert
8.64981062E8,bjornsonaret.no,Usignert
8.64982212E8,namsskoganlegekontor.no,Signert
8.64983472E8,sylveien.no,Signert
8.64983472E8,sylaneveien.no,Signert
8.64983472E8,sylanveien.no,Signert
8.64983472E8,sylvegen.no,Signert
8.64983472E8,sylanevegen.no,Signert
8.64983472E8,www.tydal.no,Usignert
8.64983472E8,sylarna.no,Signert
8.64983472E8,sylan.no,Signert
8.64983472E8,karolinerspelet.no,Signert
8.64993982E8,samvirkegarden.no,Signert
8.64993982E8,innovasjonsbasenord.no,Usignert
8.64993982E8,dialogenbardu.no,Usignert
8.64993982E8,leverandorportal.no,Usignert
8.64993982E8,supplierlist.no,Signert
8.64993982E8,utitroms.no,Signert
8.64993982E8,arcticracebardu.no,Signert
8.64993982E8,bardulegekontor.no,Signert
8.64993982E8,www.bardu.no,Signert
8.64994032E8,politiker.dyroy.no,Signert
8.64994032E8,www.xn--dyry-ira.no,Usignert
8.64994032E8,www.dyroy.no,Usignert
8.64994032E8,xn--friklfestivalen-hlbd.no,Signert
8.67668292E8,straalevern.no,Usignert
8.67668292E8,straalevernet.no,Usignert
8.67668292E8,xn--strlevernet-z8a.no,Usignert
8.67668292E8,statensstralevern.no,Usignert
8.67668292E8,statensstrolevern.no,Usignert
8.67668292E8,xn--statensstrlevern-mob.no,Usignert
8.67668292E8,solarieproven.no,Usignert
8.67668292E8,xn--solarieprven-3jb.no,Usignert
8.67668292E8,uv-info.no,Usignert
8.67668292E8,stralevernet.no,Usignert
8.67668292E8,stralevern.no,Usignert
8.67668292E8,nrpa.no,Usignert
8.67668292E8,atomhandlingsplanen.no,Usignert
8.67668292E8,atomberedskap.no,Usignert
8.70534612E8,schousplass.no,Signert
8.70534612E8,nyttigoslo.no,Usignert
8.70534612E8,laget.oslo.no,Signert
8.70534612E8,quo-vadis.no,Signert
8.70534612E8,oxlo.no,Usignert
8.70917732E8,ior-prisen.no,Signert
8.70917732E8,xn--sokkelret-b3a.no,Signert
8.70917732E8,oilfacts.no,Signert
8.70917732E8,factpages.no,Signert
8.70917732E8,faktasider.no,Signert
8.70917732E8,sokkelkartet.no,Signert
8.70917732E8,petrofacts.no,Signert
8.70917732E8,oljedirektoratet.no,Signert
8.70917732E8,npd.no,Signert
8.70917732E8,faktaheftet.no,Signert
8.70917732E8,diskos.no,Signert
8.70934432E8,xn--mpsr-ira.no,Usignert
8.70934432E8,mpsor.no,Usignert
8.70934432E8,xn--miljpartnersr-enbi.no,Usignert
8.70934432E8,miljopartnersor.no,Usignert
8.70934432E8,libir.no,Signert
8.70961642E8,vea-fs.no,Usignert
8.70961642E8,statensfagskole.no,Usignert
8.70961642E8,norskefagskoler.no,Usignert
8.70961642E8,mesterbrevet.no,Signert
8.70961642E8,mesterbrevene.no,Usignert
8.70961642E8,gronnfagskole.no,Usignert
8.70961642E8,gledesspredere.no,Usignert
8.70961642E8,blimester.no,Signert
8.70961642E8,xn--bliblomsterdekoratr-d8b.no,Signert
8.70961642E8,bliblomsterdekorator.no,Signert
8.70961642E8,anleggsgartnertekniker.no,Usignert
8.70961642E8,anleggsgartnerteknikker.no,Usignert
8.70963882E8,gir.hm.no,Usignert
8.71033382E8,hvakosterstrommen.no,Usignert
8.71033382E8,xn--hvakosterstrmmen-wxb.no,Usignert
8.71033382E8,hvakostertannlegen.no,Usignert
8.71033382E8,hvakostertannleger.no,Signert
8.71033382E8,hvakostertannlege.no,Signert
8.71033382E8,xn--strmregningen-dnb.no,Usignert
8.71033382E8,stromregningen.no,Usignert
8.71033382E8,xn--strmlista-n8a.no,Usignert
8.71033382E8,xn--strmlisten-2cb.no,Usignert
8.71033382E8,stromlisten.no,Usignert
8.71033382E8,forbrukerstrom.no,Usignert
8.71033382E8,stromregninger.no,Usignert
8.71033382E8,stromlista.no,Usignert
8.71033382E8,xn--strmregninger-dnb.no,Usignert
8.71033382E8,xn--strmrd-mua3m.no,Usignert
8.71033382E8,xn--forbrukerstrm-mnb.no,Usignert
8.71033382E8,stromrad.no,Usignert
8.71033382E8,xn--strmoversikten-sqb.no,Usignert
8.71033382E8,stromoversikt.no,Usignert
8.71033382E8,elravdnji.no,Usignert
8.71033382E8,xn--strmoversikt-xjb.no,Usignert
8.71033382E8,stromoversikten.no,Usignert
8.71033382E8,elekt.no,Usignert
8.71033382E8,xn--strmprisoversikt-nxb.no,Usignert
8.71033382E8,stromprisoversikten.no,Usignert
8.71033382E8,stromprisoversikt.no,Usignert
8.71033382E8,xn--strmprisoversikten-i4b.no,Usignert
8.71033382E8,forbrukarradet.no,Signert
8.71033382E8,straumprisar.no,Usignert
8.71033382E8,straumpris.no,Usignert
8.71033382E8,strompris.no,Usignert
8.71033382E8,tannhelseportal.no,Usignert
8.71033382E8,tannhelseportalen.no,Usignert
8.71033382E8,tannlegelista.no,Signert
8.71033382E8,tiltannlegen.no,Signert
8.71033382E8,fportalen.no,Signert
8.71033382E8,xn--strmpris-74a.no,Usignert
8.71033382E8,sendepengerhjem.no,Usignert
8.71033382E8,sendingmoneyhome.no,Usignert
8.71033382E8,sendpengerhjem.no,Usignert
8.71033382E8,kraftprisoversikt.no,Usignert
8.71033382E8,kraftprisoversikten.no,Usignert
8.71033382E8,xn--forbrukerrdet-yfb.no,Usignert
8.71033382E8,forbrukerportalen.no,Usignert
8.71033382E8,forbrukerrapporten.no,Signert
8.71033382E8,forbrukerinfo.no,Usignert
8.71033382E8,forbrukertest.no,Usignert
8.71033382E8,forbrukerrett.no,Usignert
8.71033382E8,forbrukerjuss.no,Usignert
8.71033382E8,forbrukerraadet.no,Usignert
8.71033382E8,forbrukarportalen.no,Signert
8.71033382E8,forbrukerradet.no,Usignert
8.71033382E8,forbrukereuropa.no,Usignert
8.71033382E8,finansportalen.no,Usignert
8.71034222E8,solorjordogskog.no,Usignert
8.71034222E8,solorbonden.no,Usignert
8.71034222E8,solorlandbruk.no,Usignert
8.71034222E8,xn--vlerlegesenter-lib.no,Usignert
8.71034222E8,valerlegesenter.no,Usignert
8.71034222E8,visitvaaler.no,Usignert
8.71034222E8,vikks.no,Usignert
8.71034222E8,vaalerskolene.no,Usignert
8.71034222E8,ikvalitet.no,Usignert
8.71034222E8,god-oppvekst.no,Usignert
